"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","RT @devashak: At 70, #Thalaivar #Rajinikanth what a look.
#Rajini onscreen appearance <U+0001F525><U+0001F525><U+0001F525><U+0001F525>",FALSE,0,NA,2021-01-22 10:07:18,FALSE,NA,"1352558450459480065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Iyyappa28889234",13,TRUE,FALSE,NA,NA
"12","RT @Rayyappan_Saran: Last 5 Movies Cumulative Tamil Nadu Gross<U+0001F525>

#Thalapathy 570Cr+ (#Master Still Running)<U+0001F4A5>

#Rajini - 460Cr+
#Ajith   - 3…",FALSE,0,NA,2021-01-22 09:53:38,FALSE,NA,"1352555011201331206",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AravindSajeev2",13,TRUE,FALSE,NA,NA
"13","RT @Rayyappan_Saran: Last 5 Movies Cumulative Tamil Nadu Gross<U+0001F525>

#Thalapathy 570Cr+ (#Master Still Running)<U+0001F4A5>

#Rajini - 460Cr+
#Ajith   - 3…",FALSE,0,NA,2021-01-22 09:46:50,FALSE,NA,"1352553298528616449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fairydollyzz",13,TRUE,FALSE,NA,NA
"14","RT @Rayyappan_Saran: Last 5 Movies Cumulative Tamil Nadu Gross<U+0001F525>

#Thalapathy 570Cr+ (#Master Still Running)<U+0001F4A5>

#Rajini - 460Cr+
#Ajith   - 3…",FALSE,0,NA,2021-01-22 09:46:01,FALSE,NA,"1352553095620780033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mersalite26",13,TRUE,FALSE,NA,NA
"15","RT @Rayyappan_Saran: Last 5 Movies Cumulative Tamil Nadu Gross<U+0001F525>

#Thalapathy 570Cr+ (#Master Still Running)<U+0001F4A5>

#Rajini - 460Cr+
#Ajith   - 3…",FALSE,0,NA,2021-01-22 09:14:13,FALSE,NA,"1352545092565786627",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","akhilasmohan",13,TRUE,FALSE,NA,NA
"16","RT @Rayyappan_Saran: Last 5 Movies Cumulative Tamil Nadu Gross<U+0001F525>

#Thalapathy 570Cr+ (#Master Still Running)<U+0001F4A5>

#Rajini - 460Cr+
#Ajith   - 3…",FALSE,0,NA,2021-01-22 09:14:09,FALSE,NA,"1352545072907128834",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JACKSparrow__ON",13,TRUE,FALSE,NA,NA
"17","RT @Rayyappan_Saran: Last 5 Movies Cumulative Tamil Nadu Gross<U+0001F525>

#Thalapathy 570Cr+ (#Master Still Running)<U+0001F4A5>

#Rajini - 460Cr+
#Ajith   - 3…",FALSE,0,NA,2021-01-22 09:09:04,FALSE,NA,"1352543794147676160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Swasthi56898375",13,TRUE,FALSE,NA,NA
"18","RT @Rayyappan_Saran: Last 5 Movies Cumulative Tamil Nadu Gross<U+0001F525>

#Thalapathy 570Cr+ (#Master Still Running)<U+0001F4A5>

#Rajini - 460Cr+
#Ajith   - 3…",FALSE,0,NA,2021-01-22 08:59:08,FALSE,NA,"1352541295315623936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iam_frankieBoy",13,TRUE,FALSE,NA,NA
"19","RT @Rayyappan_Saran: Last 5 Movies Cumulative Tamil Nadu Gross<U+0001F525>

#Thalapathy 570Cr+ (#Master Still Running)<U+0001F4A5>

#Rajini - 460Cr+
#Ajith   - 3…",FALSE,0,NA,2021-01-22 08:48:01,FALSE,NA,"1352538498432045056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kameshoffl",13,TRUE,FALSE,NA,NA
"20","RT @Rayyappan_Saran: Last 5 Movies Cumulative Tamil Nadu Gross<U+0001F525>

#Thalapathy 570Cr+ (#Master Still Running)<U+0001F4A5>

#Rajini - 460Cr+
#Ajith   - 3…",FALSE,0,NA,2021-01-22 08:46:24,FALSE,NA,"1352538091559424002",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MoHaN_official0",13,TRUE,FALSE,NA,NA
"21","RT @TeluguTvExpress: Top Rated Dubbing Movies In it's premiere Telecast 
. 
#Robo --  19.04
#Bichagadu -- 18.75
#Kabali -- 14.52
#Kanchana3…",FALSE,0,NA,2021-01-22 08:45:27,FALSE,NA,"1352537850605039616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DevaramGopinath",7,TRUE,FALSE,NA,NA
"22","RT @Rayyappan_Saran: Last 5 Movies Cumulative Tamil Nadu Gross<U+0001F525>

#Thalapathy 570Cr+ (#Master Still Running)<U+0001F4A5>

#Rajini - 460Cr+
#Ajith   - 3…",FALSE,0,NA,2021-01-22 08:43:38,FALSE,NA,"1352537396345102339",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Itz_vijay_fans",13,TRUE,FALSE,NA,NA
"23","RT @anandviswajit: This generation After #Rajini &amp; #Kamal, Now #Ajithkumar the only star get two 300+ days successful running movies

1. #A…",FALSE,0,NA,2021-01-22 08:30:39,FALSE,NA,"1352534125828214784",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MassHer66372986",289,TRUE,FALSE,NA,NA
"24","Last 5 Movies Cumulative Tamil Nadu Gross<U+0001F525>

#Thalapathy 570Cr+ (#Master Still Running)<U+0001F4A5>

#Rajini - 460Cr+
#Ajith… https://t.co/0iG9Mfxnak",FALSE,18,NA,2021-01-22 08:27:08,TRUE,NA,"1352533242151231488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rayyappan_Saran",13,FALSE,FALSE,NA,NA
"25","RT @Ramk8068: Number of WW 100 Cr Grossers for Kollywood Actor <U+0001F44D>

• #Rajini  -  9
• #Suriya - 8
• Vijay      - 8
•Ajith       - 5
• Karthi…",FALSE,0,NA,2021-01-22 08:11:31,FALSE,NA,"1352529311618633729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dhavasakthi7",492,TRUE,FALSE,NA,NA
"26","@BLSTG #Enthiran - 105Cr #Kabali - 110Cr #Petta - 116Cr #Darbar - 123Cr #2Point0 - 136Cr #Rajini Total film collect… https://t.co/aZUEh52M2G",FALSE,0,"BLSTG",2021-01-22 07:29:33,TRUE,"1352288312698912769","1352518751904624645","176045921","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaveenA54619561",0,FALSE,FALSE,NA,NA
"27","RT @TeluguTvExpress: Top Rated Dubbing Movies In it's premiere Telecast 
. 
#Robo --  19.04
#Bichagadu -- 18.75
#Kabali -- 14.52
#Kanchana3…",FALSE,0,NA,2021-01-22 07:10:27,FALSE,NA,"1352513943579750400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","muruga6040",7,TRUE,FALSE,NA,NA
"28","RT @itssuryanarayan: Got wonderful and motivational quotes calander of Nama Thalaivar 
@rajinikanth . Thank you bro @deepakvikram16 .
#thal…",FALSE,0,NA,2021-01-22 06:38:16,FALSE,NA,"1352505846962352129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","srisuryashoes",1,TRUE,FALSE,NA,NA
"29","RT @TeluguTvExpress: Top Rated Dubbing Movies In it's premiere Telecast 
. 
#Robo --  19.04
#Bichagadu -- 18.75
#Kabali -- 14.52
#Kanchana3…",FALSE,0,NA,2021-01-22 05:47:05,FALSE,NA,"1352492963436224514",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vishalFans360",7,TRUE,FALSE,NA,NA
"30","RT @devashak: At 70, #Thalaivar #Rajinikanth what a look.
#Rajini onscreen appearance <U+0001F525><U+0001F525><U+0001F525><U+0001F525> https://t.co/npGjEljVc9",FALSE,0,NA,2021-01-22 05:14:20,FALSE,NA,"1352484724002889733",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Thalaiv16941056",13,TRUE,FALSE,NA,NA
"31","RT @devashak: Some positive news.
#Thalaivar #Rajinikanth hail &amp; healthy.
On the other side did you guys notice #Rajini was exposed to 4 cr…",FALSE,0,NA,2021-01-22 05:14:18,FALSE,NA,"1352484713177305088",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Thalaiv16941056",14,TRUE,FALSE,NA,NA
"32","RT @Sakthi7301: so #Master also never collect 15Cr+ 
@actorvijay  needs mini 5yrs to touch #Rajini-in real accountable BO area #chennai -th…",FALSE,0,NA,2021-01-22 05:04:58,FALSE,NA,"1352482363691819009",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","twitts_back_up",6,TRUE,FALSE,NA,NA
"33","RT @devashak: At 70, #Thalaivar #Rajinikanth what a look.
#Rajini onscreen appearance <U+0001F525><U+0001F525><U+0001F525><U+0001F525>",FALSE,0,NA,2021-01-22 04:42:49,FALSE,NA,"1352476790929948672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wiseGuy201",13,TRUE,FALSE,NA,NA
"34","RT @devashak: At 70, #Thalaivar #Rajinikanth what a look.
#Rajini onscreen appearance <U+0001F525><U+0001F525><U+0001F525><U+0001F525>",FALSE,0,NA,2021-01-22 04:24:13,FALSE,NA,"1352472110753439746",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","srisuryashoes",13,TRUE,FALSE,NA,NA
"35","RT @DhanushTeluguF: Quote ur 1st #YourFavHero movie in theater.. Fan from which movie

#Dhanush
For me #Mourya 
Fan from #Dhoolpet 

#Jagam…",FALSE,0,NA,2021-01-22 02:57:57,FALSE,NA,"1352450402596184064",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BharatR71465808",22,TRUE,FALSE,NA,NA
"36","A movie which was drop then #ejamaan took off! #thalaivar #Rajinikanth #rajinifans #RajinikanthArmy… https://t.co/dexktKhu4I",FALSE,0,NA,2021-01-22 02:05:04,TRUE,NA,"1352437094237360128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Naran_YNWA",0,FALSE,FALSE,NA,NA
"37","RT @devashak: At 70, #Thalaivar #Rajinikanth what a look.
#Rajini onscreen appearance <U+0001F525><U+0001F525><U+0001F525><U+0001F525>",FALSE,0,NA,2021-01-22 01:41:19,FALSE,NA,"1352431113646424065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RajRajiniRaj",13,TRUE,FALSE,NA,NA
"38","RT @devashak: Some positive news.
#Thalaivar #Rajinikanth hail &amp; healthy.
On the other side did you guys notice #Rajini was exposed to 4 cr…",FALSE,0,NA,2021-01-22 01:40:27,FALSE,NA,"1352430895739768833",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RajRajiniRaj",14,TRUE,FALSE,NA,NA
"39","RT @Funnyma82213333: Common pt..Respective IH kings,,who were BO rulers are at same place no :4
#sharukhkhan #sharukh 
#Rajinikanth #Rajini…",FALSE,0,NA,2021-01-22 01:35:39,FALSE,NA,"1352429690485575681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NameIzSurya",51,TRUE,FALSE,NA,NA
"40","RT @devashak: Some positive news.
#Thalaivar #Rajinikanth hail &amp; healthy.
On the other side did you guys notice #Rajini was exposed to 4 cr…",FALSE,0,NA,2021-01-22 01:17:25,FALSE,NA,"1352425100893679618",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1ndeepthoughts",14,TRUE,FALSE,NA,NA
"41","RT @devashak: Some positive news.
#Thalaivar #Rajinikanth hail &amp; healthy.
On the other side did you guys notice #Rajini was exposed to 4 cr…",FALSE,0,NA,2021-01-22 01:13:12,FALSE,NA,"1352424039369879556",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rajinidar",14,TRUE,FALSE,NA,NA
"42","RT @devashak: Some positive news.
#Thalaivar #Rajinikanth hail &amp; healthy.
On the other side did you guys notice #Rajini was exposed to 4 cr…",FALSE,0,NA,2021-01-22 01:12:32,FALSE,NA,"1352423872432365570",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","thisisfishera1",14,TRUE,FALSE,NA,NA
"43","RT @devashak: At 70, #Thalaivar #Rajinikanth what a look.
#Rajini onscreen appearance <U+0001F525><U+0001F525><U+0001F525><U+0001F525>",FALSE,0,NA,2021-01-21 22:49:22,FALSE,NA,"1352387844287827968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BengaluruFan",13,TRUE,FALSE,NA,NA
"44","RT @Funnyma82213333: Common pt..Respective IH kings,,who were BO rulers are at same place no :4
#sharukhkhan #sharukh 
#Rajinikanth #Rajini…",FALSE,0,NA,2021-01-21 20:06:13,FALSE,NA,"1352346783112814592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shivateja_91",51,TRUE,FALSE,NA,NA
"45","RT @devashak: Some positive news.
#Thalaivar #Rajinikanth hail &amp; healthy.
On the other side did you guys notice #Rajini was exposed to 4 cr…",FALSE,0,NA,2021-01-21 19:21:59,FALSE,NA,"1352335652721836033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rameshdurai1005",14,TRUE,FALSE,NA,NA
"46","RT @devashak: Some positive news.
#Thalaivar #Rajinikanth hail &amp; healthy.
On the other side did you guys notice #Rajini was exposed to 4 cr…",FALSE,0,NA,2021-01-21 18:58:35,FALSE,NA,"1352329764724494336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wiseGuy201",14,TRUE,FALSE,NA,NA
"47","RT @Funnyma82213333: Common pt..Respective IH kings,,who were BO rulers are at same place no :4
#sharukhkhan #sharukh 
#Rajinikanth #Rajini…",FALSE,0,NA,2021-01-21 18:21:11,FALSE,NA,"1352320351368171521",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MDSOHEL83955443",51,TRUE,FALSE,NA,NA
"48","Got wonderful and motivational quotes calander of Nama Thalaivar 
@rajinikanth . Thank you bro @deepakvikram16 .… https://t.co/Ncz2UIsiMg",FALSE,6,NA,2021-01-21 17:57:00,TRUE,NA,"1352314267677048834",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itssuryanarayan",1,FALSE,FALSE,NA,NA
"49","RT @DhanushTeluguF: Quote ur 1st #YourFavHero movie in theater.. Fan from which movie

#Dhanush
For me #Mourya 
Fan from #Dhoolpet 

#Jagam…",FALSE,0,NA,2021-01-21 17:34:45,FALSE,NA,"1352308666251186176",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Prabhas70335483",22,TRUE,FALSE,NA,NA
"50","RT @DhanushTeluguF: Quote ur 1st #YourFavHero movie in theater.. Fan from which movie

#Dhanush
For me #Mourya 
Fan from #Dhoolpet 

#Jagam…",FALSE,0,NA,2021-01-21 17:30:59,FALSE,NA,"1352307717965156354",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","prabhas1269",22,TRUE,FALSE,NA,NA
"51","RT @Ramk8068: Number of WW 100 Cr Grossers for Kollywood Actor <U+0001F44D>

• #Rajini  -  9
• #Suriya - 8
• Vijay      - 8
•Ajith       - 5
• Karthi…",FALSE,0,NA,2021-01-21 17:28:19,FALSE,NA,"1352307047400816640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Suriya59682189",492,TRUE,FALSE,NA,NA
"52","RT @DhanushTeluguF: Quote ur 1st #YourFavHero movie in theater.. Fan from which movie

#Dhanush
For me #Mourya 
Fan from #Dhoolpet 

#Jagam…",FALSE,0,NA,2021-01-21 17:26:29,FALSE,NA,"1352306588330020865",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Prabhas20455005",22,TRUE,FALSE,NA,NA
"53","RT @Funnyma82213333: Common pt..Respective IH kings,,who were BO rulers are at same place no :4
#sharukhkhan #sharukh 
#Rajinikanth #Rajini…",FALSE,0,NA,2021-01-21 17:14:33,FALSE,NA,"1352303581358034944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VGarikela",51,TRUE,FALSE,NA,NA
"54","RT @SumanthVarma_: Aat #Rajini Shots Goosebumps <U+0001F525><U+0001F525>

#Valimai",FALSE,0,NA,2021-01-21 17:14:30,FALSE,NA,"1352303571019001863",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","radheshaymwait",5,TRUE,FALSE,NA,NA
"55","RT @JosTho20: @THEPANIPURI May Be Another #Rajini Sir Movie...Hopefully
Waiting....
For one Solid Come Back...

#Thalaivar #Annaatthe #Raji…",FALSE,0,NA,2021-01-21 17:08:14,FALSE,NA,"1352301994220810240",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rafique06",2,TRUE,FALSE,NA,NA
"56","RT @devashak: Some positive news.
#Thalaivar #Rajinikanth hail &amp; healthy.
On the other side did you guys notice #Rajini was exposed to 4 cr…",FALSE,0,NA,2021-01-21 16:58:50,FALSE,NA,"1352299627911868416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prjaishankar",14,TRUE,FALSE,NA,NA
"57","@THEPANIPURI May Be Another #Rajini Sir Movie...Hopefully
Waiting....
For one Solid Come Back...

#Thalaivar #Annaatthe #Rajinikanth",FALSE,6,"THEPANIPURI",2021-01-21 16:58:01,FALSE,"1352197434928226309","1352299421615050753","908965886781923328","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JosTho20",2,FALSE,FALSE,NA,NA
"58","RT @devashak: Some positive news.
#Thalaivar #Rajinikanth hail &amp; healthy.
On the other side did you guys notice #Rajini was exposed to 4 cr…",FALSE,0,NA,2021-01-21 16:50:34,FALSE,NA,"1352297548522815488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gowtham766",14,TRUE,FALSE,NA,NA
"59","RT @devashak: At 70, #Thalaivar #Rajinikanth what a look.
#Rajini onscreen appearance <U+0001F525><U+0001F525><U+0001F525><U+0001F525>",FALSE,0,NA,2021-01-21 16:49:36,FALSE,NA,"1352297305672544257",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","niyassurya",13,TRUE,FALSE,NA,NA
"60","RT @devashak: Some positive news.
#Thalaivar #Rajinikanth hail &amp; healthy.
On the other side did you guys notice #Rajini was exposed to 4 cr…",FALSE,0,NA,2021-01-21 16:47:19,FALSE,NA,"1352296730419630083",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rSFlpNO7KzahEPh",14,TRUE,FALSE,NA,NA
"61","RT @devashak: Some positive news.
#Thalaivar #Rajinikanth hail &amp; healthy.
On the other side did you guys notice #Rajini was exposed to 4 cr…",FALSE,0,NA,2021-01-21 16:34:53,FALSE,NA,"1352293600609009665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Suryakumar_N_97",14,TRUE,FALSE,NA,NA
"62","RT @devashak: Some positive news.
#Thalaivar #Rajinikanth hail &amp; healthy.
On the other side did you guys notice #Rajini was exposed to 4 cr…",FALSE,0,NA,2021-01-21 16:33:55,FALSE,NA,"1352293359218421760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pettasiva2",14,TRUE,FALSE,NA,NA
"63","Some positive news.
#Thalaivar #Rajinikanth hail &amp; healthy.
On the other side did you guys notice #Rajini was expos… https://t.co/vb5QpvWAxn",FALSE,30,NA,2021-01-21 16:32:28,TRUE,NA,"1352292992376135681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","devashak",14,FALSE,FALSE,NA,NA
"64","RT @DhanushTeluguF: @dhanushkraja annaya please fix as #Rajini sir title cards..
#Vip bgm for @wunderbarfilms 
#Asuran bgm for #Dhanush tit…",FALSE,0,NA,2021-01-21 16:15:38,FALSE,NA,"1352288756590538753",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hnazeer3",16,TRUE,FALSE,NA,NA
"65","RT @devashak: At 70, #Thalaivar #Rajinikanth what a look.
#Rajini onscreen appearance <U+0001F525><U+0001F525><U+0001F525><U+0001F525>",FALSE,0,NA,2021-01-21 16:00:07,FALSE,NA,"1352284850649120768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rsingaravel",13,TRUE,FALSE,NA,NA
"66","#Thalaivar @rajinikanth #health #update 

We want Thalaivar #Rajinikanth #Health update<U+0001F64F><U+0001F64F><U+0001F64F><U+0001F64F><U+0001F64F><U+0001F64F><U+0001F64F><U+0001F64F> #He should be happy… https://t.co/X6hgHj0Ri0",FALSE,0,NA,2021-01-21 15:59:32,TRUE,NA,"1352284704347574274",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rajini_ragavan",0,FALSE,FALSE,NA,NA
"67","RT @devashak: At 70, #Thalaivar #Rajinikanth what a look.
#Rajini onscreen appearance <U+0001F525><U+0001F525><U+0001F525><U+0001F525>",FALSE,0,NA,2021-01-21 15:58:11,FALSE,NA,"1352284365514964992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ganesh1387",13,TRUE,FALSE,NA,NA
"68","RT @devashak: At 70, #Thalaivar #Rajinikanth what a look.
#Rajini onscreen appearance <U+0001F525><U+0001F525><U+0001F525><U+0001F525>",FALSE,0,NA,2021-01-21 15:56:39,FALSE,NA,"1352283978967879681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","premrpk_",13,TRUE,FALSE,NA,NA
"69","At 70, #Thalaivar #Rajinikanth what a look.
#Rajini onscreen appearance <U+0001F525><U+0001F525><U+0001F525><U+0001F525> https://t.co/npGjEljVc9",FALSE,28,NA,2021-01-21 15:56:13,FALSE,NA,"1352283867990773761",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","devashak",13,FALSE,FALSE,NA,NA
"70","RT @Ramk8068: Number of WW 100 Cr Grossers for Kollywood Actor <U+0001F44D>

• #Rajini  -  9
• #Suriya - 8
• Vijay      - 8
•Ajith       - 5
• Karthi…",FALSE,0,NA,2021-01-21 15:54:43,FALSE,NA,"1352283490654384134",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","100000_fan",492,TRUE,FALSE,NA,NA
"71","Next Year Thana Ipo @Atlee_dir or @desingh_dp or @shankarshanmugh is the best choice of #rajini screen presence https://t.co/XcMtD49PY6",FALSE,0,NA,2021-01-21 15:45:55,FALSE,NA,"1352281278540701697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SachinUllaallaa",0,FALSE,FALSE,NA,NA
